date_time,maxtempC,tmean90,tmean,tmean_3D,Excess_Heat_Index,Heat_Stress,Excess_Heat_Factor,Heat_Condition,Heat_Wave
2022-12-27,34,33.6,26.0,24.833333333333332,-7.166666666666668,23.90111111111111,-171.2912962962963,0,False
2022-12-28,35,34.6,27.0,26.0,-6.0,25.072777777777777,-150.43666666666667,0,False
2022-12-29,35,35.0,27.5,26.833333333333332,-5.166666666666668,25.910555555555554,-133.8712037037037,0,False
2022-12-30,35,35.0,27.5,27.333333333333332,-4.666666666666668,26.41333333333333,-123.26222222222223,0,False
2022-12-31,34,35.0,26.5,27.166666666666668,-4.833333333333332,26.247777777777777,-126.86425925925923,0,False
2023-01-01,32,35.0,25.0,26.333333333333332,-5.666666666666668,25.413888888888888,-144.01203703703706,0,False
2023-01-02,34,35.0,25.5,25.666666666666668,-6.333333333333332,24.747777777777777,-156.7359259259259,0,False
2023-01-03,34,34.6,26.0,25.5,-6.5,24.581666666666667,-159.78083333333333,0,False
2023-01-04,33,34.0,25.5,25.666666666666668,-6.333333333333332,24.75111111111111,-156.757037037037,0,False
2023-01-05,34,34.0,27.5,26.333333333333332,-5.666666666666668,25.419999999999998,-144.04666666666668,0,False
2023-01-06,34,34.0,27.0,26.666666666666668,-5.333333333333332,25.756666666666668,-137.36888888888888,0,False
2023-01-07,35,34.6,29.0,27.833333333333332,-4.166666666666668,26.92722222222222,-112.19675925925928,0,False
2023-01-08,34,34.6,28.0,28.0,-4.0,27.09611111111111,-108.38444444444444,0,False
2023-01-09,34,34.6,26.5,27.833333333333332,-4.166666666666668,26.931666666666665,-112.2152777777778,0,False
2023-01-10,35,35.0,26.5,27.0,-5.0,26.096666666666668,-130.48333333333335,0,False
2023-01-11,34,35.0,26.0,26.333333333333332,-5.666666666666668,25.42722222222222,-144.0875925925926,0,False
2023-01-12,33,34.6,25.0,25.833333333333332,-6.166666666666668,24.92611111111111,-153.71101851851853,0,False
2023-01-13,30,34.6,24.0,25.0,-7.0,24.092222222222222,-168.64555555555555,0,False
2023-01-14,31,34.6,23.0,24.0,-8.0,23.09111111111111,-184.7288888888889,0,False
2023-01-15,32,33.6,23.5,23.5,-8.5,22.595555555555556,-192.06222222222223,0,False
2023-01-16,31,32.6,24.0,23.5,-8.5,22.601666666666667,-192.11416666666668,0,False
2023-01-17,32,32.0,24.5,24.0,-8.0,23.108333333333334,-184.86666666666667,0,False
2023-01-18,34,33.2,25.5,24.666666666666668,-7.333333333333332,23.782222222222224,-174.40296296296296,0,False
2023-01-19,33,33.6,25.5,25.166666666666668,-6.833333333333332,24.28888888888889,-165.97407407407405,0,False
2023-01-20,32,33.6,25.0,25.333333333333332,-6.666666666666668,24.461666666666666,-163.0777777777778,0,False
2023-01-21,32,33.6,24.5,25.0,-7.0,24.13277777777778,-168.92944444444444,0,False
2023-01-22,31,33.6,24.0,24.5,-7.5,23.635555555555555,-177.26666666666665,0,False
2023-01-23,31,32.6,24.0,24.166666666666668,-7.833333333333332,23.305,-182.5558333333333,0,False
2023-01-24,30,32.0,23.5,23.833333333333332,-8.166666666666668,22.975555555555555,-187.63370370370373,0,False
2023-01-25,29,31.6,22.5,23.333333333333332,-8.666666666666668,22.47888888888889,-194.81703703703707,0,False
2023-01-26,31,31.0,25.0,23.666666666666668,-8.333333333333332,22.813333333333336,-190.11111111111111,0,False
2023-01-27,36,34.0,28.0,25.166666666666668,-6.833333333333332,24.313333333333336,-166.14111111111112,0,False
2023-01-28,35,35.6,27.5,26.833333333333332,-5.166666666666668,25.982777777777777,-134.2443518518519,0,False
2023-01-29,31,35.6,25.5,27.0,-5.0,26.150555555555556,-130.7527777777778,0,False
2023-01-30,33,35.6,26.0,26.333333333333332,-5.666666666666668,25.482777777777777,-144.40240740740742,0,False
2023-01-31,35,35.6,27.5,26.333333333333332,-5.666666666666668,25.482777777777777,-144.40240740740742,0,False
2023-02-01,35,35.0,29.0,27.5,-4.5,26.651666666666667,-119.9325,0,False
2023-02-02,36,35.6,29.5,28.666666666666668,-3.333333333333332,27.81888888888889,-92.7296296296296,0,False
2023-02-03,36,36.0,28.5,29.0,-3.0,28.149444444444445,-84.44833333333334,0,False
2023-02-04,36,36.0,28.0,28.666666666666668,-3.333333333333332,27.812222222222225,-92.70740740740739,0,False
2023-02-05,36,36.0,28.5,28.333333333333332,-3.666666666666668,27.474999999999998,-100.74166666666669,0,False
2023-02-06,36,36.0,27.5,28.0,-4.0,27.138333333333332,-108.55333333333333,0,False
2023-02-07,35,36.0,27.0,27.666666666666668,-4.333333333333332,26.804444444444446,-116.15259259259257,0,False
2023-02-08,37,36.6,28.0,27.5,-4.5,26.636111111111113,-119.86250000000001,0,False
2023-02-09,38,37.6,29.0,28.0,-4.0,27.137777777777778,-108.55111111111111,0,False
2023-02-10,37,37.6,28.5,28.5,-3.5,27.63888888888889,-96.73611111111111,0,False
2023-02-11,37,37.6,28.0,28.5,-3.5,27.63722222222222,-96.73027777777777,0,False
2023-02-12,38,38.0,28.0,28.166666666666668,-3.833333333333332,27.301111111111112,-104.65425925925923,0,False
2023-02-13,38,38.0,29.5,28.5,-3.5,27.631666666666668,-96.71083333333334,0,False
2023-02-14,38,38.0,28.5,28.666666666666668,-3.333333333333332,27.795,-92.64999999999998,0,False
2023-02-15,39,38.6,29.0,29.0,-3.0,28.12388888888889,-84.37166666666667,0,False
2023-02-16,40,39.6,30.0,29.166666666666668,-2.833333333333332,28.283333333333335,-80.13611111111108,0,False
2023-02-17,40,40.0,30.0,29.666666666666668,-2.333333333333332,28.77777777777778,-67.14814814814811,0,False
2023-02-18,40,40.0,30.0,30.0,-2.0,29.105555555555554,-58.21111111111111,0,False
2023-02-19,39,40.0,29.5,29.833333333333332,-2.166666666666668,28.932777777777776,-62.68768518518522,0,False
2023-02-20,37,40.0,29.0,29.5,-2.5,28.594444444444445,-71.48611111111111,0,False
2023-02-21,38,40.0,29.0,29.166666666666668,-2.833333333333332,28.256111111111114,-80.05898148148145,0,False
2023-02-22,38,39.6,29.0,29.0,-3.0,28.084444444444443,-84.25333333333333,0,False
2023-02-23,39,39.0,29.5,29.166666666666668,-2.833333333333332,28.246111111111112,-80.03064814814812,0,False
2023-02-24,39,39.0,29.5,29.333333333333332,-2.666666666666668,28.40722222222222,-75.75259259259262,0,False
2023-02-25,39,39.0,30.0,29.666666666666668,-2.333333333333332,28.735,-67.0483333333333,0,False
2023-02-26,39,39.0,30.0,29.833333333333332,-2.166666666666668,28.895,-62.605833333333365,0,False
2023-02-27,41,40.2,31.5,30.5,-1.5,29.55388888888889,-44.33083333333333,0,False
2023-02-28,39,40.2,31.0,30.833333333333332,-1.1666666666666679,29.881666666666664,-34.861944444444475,0,False
2023-03-01,39,40.2,31.0,31.166666666666668,-0.8333333333333321,30.212777777777777,-25.17731481481478,0,False
2023-03-02,41,41.0,32.0,31.333333333333332,-0.6666666666666679,30.375,-20.250000000000036,0,False
2023-03-03,42,41.6,33.5,32.166666666666664,0.1666666666666643,31.20222222222222,5.200370370370296,1,False
2023-03-04,41,41.6,33.5,33.0,1.0,32.03,32.03,1,False
2023-03-05,42,42.0,34.0,33.666666666666664,1.6666666666666643,32.69166666666666,54.48611111111103,1,True
2023-03-06,41,42.0,32.5,33.333333333333336,1.3333333333333357,32.35333333333334,43.13777777777786,1,True
2023-03-07,40,42.0,31.5,32.666666666666664,0.6666666666666643,31.68222222222222,21.121481481481403,1,True
2023-03-08,40,41.6,32.0,32.0,0.0,31.009444444444444,0.0,0,False
2023-03-09,41,41.6,33.5,32.333333333333336,0.3333333333333357,31.33777777777778,10.445925925926002,1,False
2023-03-10,42,41.6,34.0,33.166666666666664,1.1666666666666643,32.16777777777777,37.52907407407399,1,False
2023-03-11,42,42.0,34.0,33.833333333333336,1.8333333333333357,32.82944444444445,60.1873148148149,1,True
2023-03-12,43,42.6,34.5,34.166666666666664,2.1666666666666643,33.15555555555555,71.83703703703695,1,True
2023-03-13,41,42.6,34.0,34.166666666666664,2.1666666666666643,33.148888888888884,71.8225925925925,1,True
2023-03-14,40,42.6,33.0,33.833333333333336,1.8333333333333357,32.81,60.15166666666675,1,True
2023-03-15,39,42.6,33.0,33.333333333333336,1.3333333333333357,32.303333333333335,43.071111111111186,1,True
2023-03-16,39,42.2,32.5,32.833333333333336,0.8333333333333357,31.79666666666667,26.4972222222223,1,True
2023-03-17,37,40.6,31.0,32.166666666666664,0.1666666666666643,31.124444444444443,5.187407407407333,0,False
2023-03-18,35,39.6,30.0,31.166666666666668,-0.8333333333333321,30.12055555555556,-25.10046296296293,0,False
2023-03-19,35,39.0,29.5,30.166666666666668,-1.8333333333333321,29.116111111111113,-53.379537037037004,0,False
2023-03-20,35,38.2,29.5,29.666666666666668,-2.333333333333332,28.61388888888889,-66.76574074074071,0,False
2023-03-21,35,36.2,29.5,29.5,-2.5,28.447222222222223,-71.11805555555556,0,False
2023-03-22,36,35.6,29.5,29.5,-2.5,28.447777777777777,-71.11944444444444,0,False
2023-03-23,36,36.0,30.0,29.666666666666668,-2.333333333333332,28.615000000000002,-66.7683333333333,0,False
2023-03-24,38,37.2,31.0,30.166666666666668,-1.8333333333333321,29.115000000000002,-53.37749999999997,0,False
2023-03-25,37,37.6,30.5,30.5,-1.5,29.447777777777777,-44.17166666666667,0,False
2023-03-26,36,37.6,29.0,30.166666666666668,-1.8333333333333321,29.113333333333333,-53.37444444444441,0,False
2023-03-27,37,37.6,29.5,29.666666666666668,-2.333333333333332,28.61111111111111,-66.75925925925922,0,False
2023-03-28,38,38.0,30.5,29.666666666666668,-2.333333333333332,28.61,-66.75666666666663,0,False
2023-03-29,37,37.6,30.5,30.166666666666668,-1.8333333333333321,29.110555555555557,-53.36935185185182,0,False
2023-03-30,35,37.6,29.0,30.0,-2.0,28.944444444444443,-57.888888888888886,0,False
2023-03-31,35,37.6,29.5,29.666666666666668,-2.333333333333332,28.610555555555557,-66.75796296296294,0,False
2023-04-01,35,37.6,28.5,29.0,-3.0,27.945,-83.83500000000001,0,False
2023-04-02,36,36.6,29.0,29.0,-3.0,27.947222222222223,-83.84166666666667,0,False
2023-04-03,36,36.0,29.0,28.833333333333332,-3.166666666666668,27.78222222222222,-87.97703703703706,0,False
